Name,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,PlatformGenre
50 Cent: Bulletproof,2006,Vivendi Games,0.08,0.0,"",0.01,PSP::Action
50 Classic Games,2012,Avanquest Software,"",0.02,"",0.0,3DS::Misc
50 Classic Games,2012,Avanquest Software,"",0.02,"",0.0,3DS::Misc
50 Classic Games,2012,Avanquest Software,"",0.02,"",0.0,3DS::Misc
50 Classic Games,2009,Destineer,0.52,0.0,"",0.04,DS::Misc
50 Classic Games,2009,Destineer,0.52,0.0,"",0.04,DS::Misc
64 de Hakken! Tamagotchi Minna de Tamagotchi World,1997,Namco Bandai Games,"",0.0,0.22,0.0,N64::Misc
7 Days to Die,2016,Telltale Games,0.03,0.07,"",0.02,PS4::Action
7 Wonders of the Ancient World,2007,Mumbo Jumbo,0.07,0.0,"",0.01,PSP::Puzzle
7 Wonders: Treasures of Seven,2011,Avanquest,0.02,0.03,"",0.01,DS::Puzzle
7th Dragon,2009,Sega,"",0.0,0.14,0.0,DS::Role-Playing
7th Dragon,2009,Sega,"",0.0,0.14,0.0,DS::Role-Playing
7th Dragon 2020,2011,Sega,"",0.0,0.2,0.0,PSP::Role-Playing
7th Dragon 2020-II,2013,Sega,"",0.0,0.13,0.0,PSP::Role-Playing
7th Dragon 2020-II,2013,Sega,"",0.0,0.13,0.0,PSP::Role-Playing
7th Dragon III Code: VFD,2015,Sega,0.03,0.0,0.12,0.0,3DS::Role-Playing
99 no Namida,2008,Namco Bandai Games,"",0.0,0.04,0.0,DS::Adventure
99 no Namida,2008,Namco Bandai Games,"",0.0,0.04,0.0,DS::Adventure
A Bug's Life,1998,Activision,0.49,0.13,"",0.01,N64::Platform
A Bug's Life,1998,Sony Computer Entertainment,1.96,0.72,"",0.11,PS::Platform
A Collection of Activision Classic Games for the Atari 2600,1998,Activision,0.76,0.52,"",0.09,PS::Misc
A Collection of Activision Classic Games for the Atari 2600,1998,Activision,0.76,0.52,"",0.09,PS::Misc
A Collection of Classic Games from the Intellivision,1999,Activision,0.17,0.12,"",0.02,PS::Misc
A Game of Thrones: Genesis,2011,Focus Home Interactive,"",0.03,"",0.01,PC::Strategy
A Game of Thrones: Genesis,2011,Focus Home Interactive,"",0.03,"",0.01,PC::Strategy
A Good Librarian Like a Good Shepherd: Library Party,2015,Kaga Create,"",0.0,0.03,0.0,PSV::Action
A Ressha de Ikou DS,2009,ArtDink,"",0.0,0.04,0.0,DS::Simulation
A Vampyre Story,2008,Crimson Cow,"",0.01,"",0.0,PC::Adventure
A Vampyre Story,2008,Crimson Cow,"",0.01,"",0.0,PC::Adventure
A Vampyre Story,2008,Crimson Cow,"",0.01,"",0.0,PC::Adventure
A-Train 6,2000,Midas Interactive Entertainment,"",0.0,0.06,0.0,PS2::Strategy
A-Train: City Simulator,2014,ArtDink,"",0.0,0.06,0.0,3DS::Simulation
A. IV Evolution: A Ressha de Ikou 4,1994,ArtDink,"",0.0,0.24,0.02,PS::Strategy
A.C.E.: Another Century's Episode,2005,Banpresto,"",0.0,0.26,0.0,PS2::Simulation
A.C.E.: Another Century's Episode 2,2006,Banpresto,"",0.0,0.18,0.0,PS2::Simulation
A.C.E.: Another Century's Episode 3: The Final,2007,Banpresto,"",0.0,0.26,0.0,PS2::Simulation
A.C.E.: Another Century's Episode Portable,2011,Namco Bandai Games,"",0.0,0.12,0.0,PSP::Simulation
A.C.E.: Another Century's Episode R,2010,Namco Bandai Games,"",0.0,0.26,0.0,PS3::Simulation
ABBA: You Can Dance,2011,Ubisoft,0.19,0.5,"",0.11,Wii::Misc
AC/DC LIVE: Rock Band Track Pack,2008,MTV Games,0.21,0.01,"",0.02,PS3::Misc
AC/DC LIVE: Rock Band Track Pack,2008,MTV Games,0.21,0.0,"",0.02,X360::Misc
AIR,2007,Prototype,"",0.0,0.02,0.0,PSP::Adventure
AKB1/149: Love Election,2013,Namco Bandai Games,"",0.0,0.08,0.0,PS3::Adventure
AKB1/48: Idol to Guam de Koishitara...,2011,Namco Bandai Games,"",0.0,0.4,0.0,PSP::Misc
AKB1/48: Idol to Guam de Koishitara...,N/A,N/A,"",0.0,0.01,0.0,X360::Misc
AKB1/48: Idol to Koishitara...,2010,Namco Bandai Games,"",0.0,0.41,0.0,PSP::Misc
AMF Bowling 2004,2003,Mud Duck Productions,0.22,0.06,"",0.01,XB::Sports
AMF Bowling Pinbusters!,2008,Vir2L Studios,0.06,0.0,"",0.0,DS::Sports
AMF Bowling Pinbusters!,2007,Bethesda Softworks,0.85,0.0,"",0.07,Wii::Sports
AMF Bowling World Lanes,2008,Bethesda Softworks,0.33,0.0,"",0.03,Wii::Sports
AMF Bowling World Lanes,2008,Bethesda Softworks,0.33,0.0,"",0.03,Wii::Sports
AMF Xtreme Bowling,2006,Mastertronic,0.01,0.01,"",0.0,PS2::Sports
APB Reloaded,2011,Iceberg Interactive,0.02,0.01,"",0.0,PC::Role-Playing
ATV Offroad Fury 2,2002,THQ,1.92,0.2,"",0.06,PS2::Racing
ATV Offroad Fury Pro,2006,Sony Computer Entertainment,0.37,0.04,"",0.05,PSP::Racing
ATV Offroad Fury: Blazin' Trails,2005,SouthPeak Games,0.53,0.0,"",0.04,PSP::Racing
ATV Quad Kings,2010,Storm City Games,0.1,0.0,"",0.01,DS::Racing
ATV Quad Power Racing 2,2003,Acclaim Entertainment,0.22,0.06,"",0.01,GC::Racing
ATV Quad Power Racing 2,2003,Acclaim Entertainment,0.41,0.32,"",0.11,PS2::Racing
ATV Quad Power Racing 2,2003,Acclaim Entertainment,0.36,0.07,"",0.01,XB::Racing
ATV: Quad Power Racing,2002,Liquid Games,0.18,0.07,"",0.0,GBA::Racing
ATV: Quad Power Racing,2000,Acclaim Entertainment,0.58,0.39,"",0.07,PS::Racing
Aa Megami-samaa,2007,Marvelous Interactive,"",0.0,0.01,0.0,PS2::Adventure
Abunai: Koi no Sousa Shitsu,2015,Asgard,"",0.0,0.02,0.0,PSV::Action
Academy of Champions: Soccer,2009,Ubisoft,0.1,0.02,"",0.01,Wii::Sports
Accel World: Ginyoku no Kakusei,2012,Namco Bandai Games,"",0.0,0.03,0.0,PS3::Adventure
Accel World: Ginyoku no Kakusei,2012,Namco Bandai Games,"",0.0,0.03,0.0,PSP::Adventure
Accel World: Ginyoku no Kakusei,2012,Namco Bandai Games,"",0.0,0.03,0.0,PSP::Adventure
Accel World: Ginyoku no Kakusei,2012,Namco Bandai Games,"",0.0,0.03,0.0,PSP::Adventure
Accel World: Kasoku no Chouten,2013,Namco Bandai Games,"",0.0,0.01,0.0,PSP::Adventure
Ace Attorney 6,2016,Capcom,"",0.0,0.27,0.0,3DS::Adventure
Ace Combat 04: Shattered Skies,2001,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,PS2::Simulation
Ace Combat 2,1997,Sony Computer Entertainment,0.16,0.11,0.56,0.06,PS::Simulation
Ace Combat 3: Electrosphere,1999,Sony Computer Entertainment,0.22,0.15,0.4,0.05,PS::Simulation
Ace Combat 6: Fires of Liberation,2007,Atari,0.69,0.04,0.22,0.06,X360::Simulation
Ace Combat X: Skies of Deception,2006,Namco Bandai Games,0.37,0.31,0.12,0.19,PSP::Simulation
Ace Combat Zero: The Belkan War,2006,Namco Bandai Games,0.15,0.12,0.2,0.04,PS2::Simulation
Ace Combat: Assault Horizon,2011,Namco Bandai Games,0.3,0.16,0.22,0.07,PS3::Action
Ace Combat: Assault Horizon,2011,Namco Bandai Games,0.3,0.12,0.03,0.04,X360::Action
Ace Combat: Assault Horizon Legacy,2011,Namco Bandai Games,0.1,0.06,0.08,0.01,3DS::Simulation
Achtung Panzer: Kharkov 1943,2010,Mamba Games,"",0.01,"",0.0,PC::Strategy
Act of Aggression,2015,Focus Home Interactive,"",0.01,"",0.0,PC::Strategy
Action Bass,2000,Take-Two Interactive,0.64,0.43,"",0.07,PS::Action
Action Force,1982,CPG Products,0.5,0.03,"",0.01,2600::Action
Action Man-Operation Extreme,N/A,N/A,0.05,0.03,"",0.01,PS::Action
Action Man-Operation Extreme,N/A,N/A,0.05,0.03,"",0.01,PS::Action
Action Man-Operation Extreme,N/A,N/A,0.05,0.03,"",0.01,PS::Action
Active Health with Carol Vorderman,2009,Nintendo,"",0.18,"",0.01,DS::Sports
Active Life Explorer,2010,Namco Bandai Games,0.14,0.0,"",0.01,Wii::Sports
Active Life: Extreme Challenge,2009,Namco Bandai Games,0.15,0.27,"",0.06,Wii::Sports
Active Life: Magical Carnival,2011,Namco Bandai Games,0.04,0.01,"",0.0,Wii::Misc
Active Life: Outdoor Challenge,2008,Atari,0.79,0.44,0.19,0.14,Wii::Sports
Activision Anthology,2003,Activision,0.03,0.01,"",0.0,GBA::Misc
Activision Anthology,2002,Activision,0.25,0.19,"",0.06,PS2::Misc
Activision Hits: Remixed,2006,Activision,0.05,0.0,"",0.0,PSP::Misc
Actua Tennis,1997,Gremlin Interactive Ltd,0.07,0.05,"",0.01,PS::Sports
Actua Tennis,1997,Gremlin Interactive Ltd,0.07,0.05,"",0.01,PS::Sports
Actua Tennis,1997,Gremlin Interactive Ltd,0.07,0.05,"",0.01,PS::Sports
Adidas Power Soccer,1996,Psygnosis,0.02,0.01,"",0.0,PS::Sports
Adidas Power Soccer 98,1998,Psygnosis,0.01,0.01,"",0.0,PS::Sports
Advance Guardian Heroes,2004,Ubisoft,0.03,0.01,"",0.0,GBA::Role-Playing
Advance Wars 2: Black Hole Rising,2003,Nintendo,0.47,0.17,"",0.01,GBA::Strategy
Adventure,N/A,Atari,1.21,0.08,"",0.01,2600::Adventure
Adventure,N/A,Atari,1.21,0.08,"",0.01,2600::Adventure
Adventure,N/A,Atari,1.21,0.08,"",0.01,2600::Adventure
Adventure Island,1986,Hudson Soft,"",0.0,1.05,0.0,NES::Platform
Adventure Time: Explore the Dungeon Because I Don't Know!,2013,D3Publisher,0.02,0.01,"",0.0,WiiU::Action
Adventure Time: Explore the Dungeon Because I Don't Know!,2013,D3Publisher,0.03,0.04,"",0.01,X360::Action
Adventure Time: Explore the Dungeon Because I Don't Know!,2013,D3Publisher,0.03,0.04,"",0.01,X360::Action
Adventure Time: Finn & Jake Investigations,2015,Little Orbit,0.02,0.05,"",0.01,3DS::Action
Adventure Time: Finn & Jake Investigations,2015,Little Orbit,0.03,0.04,"",0.01,PS4::Action
Adventure Time: Finn & Jake Investigations,2015,Little Orbit,0.03,0.02,"",0.0,WiiU::Action
Adventure Time: Finn & Jake Investigations,2015,Little Orbit,0.02,0.06,"",0.01,X360::Action
Adventure Time: Finn & Jake Investigations,2015,Little Orbit,0.02,0.02,"",0.0,XOne::Action
Adventure Time: The Secret of the Nameless,2014,Little Orbit,0.01,0.0,"",0.0,3DS::Adventure
Adventure Time: The Secret of the Nameless,2014,Little Orbit,0.01,0.0,"",0.0,X360::Adventure
Adventure Time: The Secret of the Nameless Kingdom,2014,Little Orbit,"",0.07,"",0.0,3DS::Action
Adventure Time: The Secret of the Nameless Kingdom,2014,Little Orbit,"",0.08,"",0.01,X360::Action
Adventures of Lolo,1989,HAL Laboratory,0.06,0.0,"",0.0,NES::Puzzle
Adventures of Tron,1981,Mattel Interactive,0.63,0.03,"",0.01,2600::Action
Aedis Eclipse: Generation of Chaos,2006,Idea Factory,0.02,0.0,"",0.0,PSP::Role-Playing
Aegis of Earth: Protonovus Assault,2016,PQube,0.01,0.01,"",0.0,PS3::Action
Aeon Flux,2005,THQ,0.02,0.02,"",0.01,PS2::Action
Aeon Flux,2005,THQ,0.01,0.0,"",0.0,XB::Action
Aero Elite: Combat Academy,2002,Sega,0.04,0.03,"",0.01,PS2::Simulation
Aero Gauge,1997,ASCII Entertainment,0.06,0.01,"",0.0,N64::Racing
AeroFighters Assault,1997,Video System,0.15,0.04,"",0.0,N64::Action
Afrika,2008,Unknown,0.12,0.0,0.08,0.01,PS3::Adventure
Afro Samurai,2009,Atari,0.12,0.05,"",0.03,PS3::Action
Afro Samurai,2009,Atari,0.12,0.05,"",0.03,PS3::Action
Afro Samurai,2009,Atari,0.16,0.05,"",0.02,X360::Action
After Hours Athletes,2011,Sony Computer Entertainment,"",0.1,"",0.03,PS3::Sports
Again,2009,Ackkstudios,0.07,0.0,"",0.0,DS::Adventure
Agarest Senki: Re-appearance,N/A,Idea Factory,"",0.0,0.01,0.0,PS3::Role-Playing
Agassi Tennis Generation,2003,DreamCatcher Interactive,0.04,0.03,"",0.01,PS2::Sports
Agatha Christie's The ABC Murders,2016,Microids,0.01,0.01,"",0.0,PS4::Adventure
Agatha Christie: Death on the Nile,2008,Big Fish Games,"",0.01,"",0.0,PC::Adventure
Agatha Christie: Peril at End House,2009,JoWood Productions,"",0.01,"",0.0,PC::Adventure
Agatha Christie: The ABC Murders,2009,JoWood Productions,0.08,0.01,"",0.01,DS::Adventure
Agatha Christie: The ABC Murders,2016,Microids,"",0.02,"",0.0,PC::Adventure
Age of Conan: Rise of the Godslayer,2010,Funcom,"",0.02,"",0.0,PC::Role-Playing
Age of Empires II: The Age of Kings,1999,Microsoft Game Studios,0.01,0.08,"",0.02,PC::Strategy
Age of Empires III: Complete Collection,2009,Microsoft Game Studios,0.01,0.12,"",0.03,PC::Strategy
Age of Empires III: Gold Edition,2007,Microsoft Game Studios,"",0.02,"",0.01,PC::Strategy
Age of Empires III: The Asian Dynasties,2007,Microsoft Game Studios,"",0.05,"",0.01,PC::Strategy
Age of Empires Online,2011,Microsoft Game Studios,0.01,0.04,"",0.01,PC::Strategy
Age of Empires: Mythologies,2008,THQ,0.17,0.03,"",0.02,DS::Strategy
Age of Empires: The Age of Kings,2006,THQ,0.19,0.02,"",0.02,DS::Strategy
Age of Mythology: The Titans,2003,Microsoft Game Studios,0.01,0.02,"",0.0,PC::Strategy
Aggressive Inline,2002,Acclaim Entertainment,0.04,0.01,"",0.0,GC::Sports
Aibou DS,2009,Tecmo Koei,"",0.0,0.08,0.0,DS::Adventure
Aidyn Chronicles: The First Mage,2001,THQ,0.08,0.02,"",0.0,N64::Role-Playing
Aikatsu! 2-nin no My Princess,2013,Namco Bandai Games,"",0.0,0.26,0.0,3DS::Action
Aikatsu! 365 Idol Days,2014,Namco Bandai Games,"",0.0,0.13,0.0,3DS::Adventure
Aikatsu! Cinderella Lesson,2012,Namco Bandai Games,"",0.0,0.2,0.0,3DS::Role-Playing
Ailu de Puzzle,2012,Capcom,"",0.0,0.04,0.0,PSP::Action
Air Combat,1995,Sony Computer Entertainment,0.92,0.33,0.52,0.05,PS::Simulation
Air Conflicts: Aces of World War II,2009,Graffiti,0.05,0.0,"",0.0,PSP::Simulation
Air Conflicts: Secret Wars,2011,bitComposer Games,"",0.02,"",0.01,PC::Simulation
Air Conflicts: Secret Wars,2011,bitComposer Games,0.1,0.06,"",0.03,PS3::Simulation
Air Traffic Chaos,2007,Ertain,0.05,0.0,"",0.0,DS::Simulation
AirForce Delta Storm,2002,Konami Digital Entertainment,0.02,0.01,"",0.0,GBA::Shooter
Airline Tycoon 2,2011,Kalypso Media,"",0.04,"",0.01,PC::Simulation
Airship Q,2015,Cygames,"",0.0,0.03,0.0,PSV::Platform
Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,2008,Marvelous Interactive,"",0.0,0.06,0.0,DS::Adventure
Akai Ito DS,2008,Alchemist,"",0.0,0.02,0.0,DS::Adventure
Akai Ito DS,2008,Alchemist,"",0.0,0.02,0.0,DS::Adventure
Akai Katana Shin,2011,Cave,0.04,0.0,0.01,0.0,X360::Shooter
Akane Iro ni Somaru Saka Parallel,2008,GN Software,"",0.0,0.03,0.0,PS2::Adventure
Akatsuki no Amaneka to Aoi Kyojin,2010,CyberFront,"",0.0,0.01,0.0,PSP::Strategy
Akiba's Trip Plus,2012,Acquire,"",0.0,0.08,0.0,PSP::Adventure
Akiba's Trip Plus,2012,Acquire,"",0.0,0.08,0.0,PSP::Adventure
Akiba's Trip: Undead & Undressed,2014,Acquire,0.08,0.0,0.01,0.02,PS4::Action
Akko ni Omakase! Brain Shock,2006,Taito,"",0.0,0.04,0.0,DS::Misc
Akuji the Heartless,1998,Eidos Interactive,0.07,0.04,"",0.01,PS::Platform
Alan Wake,2012,Nordic Games,"",0.06,"",0.01,PC::Action
Alan Wake,2010,Microsoft Game Studios,0.66,0.51,0.05,0.13,X360::Action
Alex Rider: Stormbreaker,N/A,THQ,0.06,0.0,"",0.0,DS::Action
Alfa Romeo Racing Italiano,2005,Black Bean Games,0.01,0.01,"",0.0,PS2::Racing
Alia's Carnival! Sacrament,2015,dramatic create,"",0.0,0.03,0.0,PSV::Adventure
Alias,2004,Acclaim Entertainment,0.05,0.04,"",0.01,PS2::Action
Alias,2004,Acclaim Entertainment,0.04,0.01,"",0.0,XB::Action
Alice in Wonderland,2010,Disney Interactive Studios,0.27,0.18,"",0.05,DS::Adventure
Alice: Madness Returns,2011,Electronic Arts,0.22,0.25,0.04,0.09,PS3::Adventure
Alice: Madness Returns,2011,Electronic Arts,0.27,0.15,0.04,0.04,X360::Adventure
Alien,1981,20th Century Fox Video Games,0.74,0.04,"",0.01,2600::Action
Alien,1981,20th Century Fox Video Games,0.74,0.04,"",0.01,2600::Action
Alien Breed Trilogy,2011,Mastertronic,"",0.02,"",0.0,X360::Shooter
Alien Hominid,2004,Zoo Digital Publishing,0.05,0.04,"",0.01,PS2::Shooter
Alien Resurrection,2000,Fox Interactive,0.09,0.06,"",0.01,PS::Shooter
Alien Syndrome,2007,Sega,0.07,0.0,"",0.01,PSP::Role-Playing
Alien Trilogy,1996,Acclaim Entertainment,0.24,0.16,0.04,0.03,PS::Shooter
Alien: Isolation,2014,Sega,"",0.13,"",0.01,PC::Shooter
Alien: Isolation,2014,Sega,0.34,0.56,0.04,0.19,PS4::Shooter
Alien: Isolation,2014,Sega,0.15,0.13,"",0.03,X360::Shooter
Alien: Isolation,2014,Sega,0.22,0.24,"",0.04,XOne::Shooter
Alienators: Evolution Continues,2001,Activision,0.03,0.01,"",0.0,GBA::Action
Aliens in the Attic,2009,Playlogic Game Factory,0.07,0.0,"",0.01,Wii::Action
Aliens versus Predator: Extinction,2003,Electronic Arts,0.09,0.07,"",0.02,PS2::Strategy
Aliens vs Predator,2010,Sega,"",0.17,"",0.02,PC::Shooter
Aliens vs Predator: Requiem,2007,Vivendi Games,0.03,0.12,"",0.07,PSP::Action
Aliens: Colonial Marines,2013,Sega,0.1,0.06,"",0.02,PC::Shooter
Aliens: Colonial Marines,2013,Sega,0.2,0.31,"",0.13,PS3::Shooter
Aliens: Infestation,2011,Sega,0.1,0.06,"",0.02,DS::Action
All Grown Up! Express Yourself,2004,THQ,0.13,0.05,"",0.0,GBA::Misc
All Kamen Rider: Rider Generation,2011,Namco Bandai Games,"",0.0,0.12,0.0,DS::Action
All Star Cheer Squad,2008,THQ,0.26,0.0,"",0.02,DS::Sports
All Star Cheer Squad 2,2009,THQ,0.12,0.0,"",0.01,Wii::Sports
All Star Pro-Wrestling,2000,SquareSoft,"",0.0,0.2,0.0,PS2::Fighting
All Star Tennis 99,1999,Ubisoft,0.04,0.01,"",0.0,N64::Sports
All-Pro Football 2K8,2007,Take-Two Interactive,0.14,0.0,"",0.01,PS3::Sports
All-Pro Football 2K8,2007,Take-Two Interactive,0.24,0.0,"",0.02,X360::Sports
All-Star Baseball 2000,1999,Acclaim Entertainment,0.36,0.03,"",0.0,N64::Sports
All-Star Baseball 2002,2001,Acclaim Entertainment,0.17,0.04,"",0.01,GC::Sports
All-Star Baseball 2002,2001,Acclaim Entertainment,0.17,0.04,"",0.01,GC::Sports
All-Star Baseball 2003,2002,Acclaim Entertainment,0.12,0.03,"",0.0,GC::Sports
All-Star Baseball 2003,2002,Acclaim Entertainment,0.38,0.29,"",0.1,PS2::Sports
All-Star Baseball 2004,2003,Acclaim Entertainment,0.06,0.02,"",0.0,GC::Sports
All-Star Baseball 2004,2003,Acclaim Entertainment,0.1,0.03,"",0.0,XB::Sports
All-Star Baseball 2005,N/A,Unknown,0.16,0.12,"",0.04,PS2::Sports
All-Star Baseball 2005,N/A,Unknown,0.16,0.12,"",0.04,PS2::Sports
All-Star Baseball 2005,N/A,Unknown,0.11,0.03,"",0.01,XB::Sports
All-Star Baseball 99,1998,Acclaim Entertainment,0.44,0.04,"",0.0,N64::Sports
Alleyway,1989,Nintendo,0.96,0.38,0.55,0.05,GB::Puzzle
Allied General,1996,SSI,0.11,0.07,"",0.01,PS::Strategy
Alone in the Dark,2008,Atari,"",0.01,"",0.0,PC::Adventure
Alone in the Dark,2008,Atari,0.09,0.08,"",0.02,Wii::Adventure
Alone in the Dark,2008,Atari,0.14,0.3,"",0.05,X360::Adventure
Alone in the Dark: Inferno,2008,Atari,0.09,0.03,"",0.02,PS3::Adventure
Alone in the Dark: Inferno,2008,Atari,0.09,0.03,"",0.02,PS3::Adventure
