Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
A Boy and His Blob,Wii,2009,Platform,Majesco Entertainment,0.19,0.02,0.0,0.02
A New Beginning,PC,2010,Adventure,Deep Silver,0.0,0.05,0.0,0.01
A Ressha de Gyoukou 2001,PS2,2001,Simulation,ArtDink,0.0,0.0,0.03,0.0
A Witch's Tale,DS,2009,Role-Playing,Nippon Ichi Software,0.08,0.0,0.03,0.01
A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,1995,Simulation,Pack-In-Video,0.0,0.0,0.06,0.0
A-Train,PS,1995,Simulation,Sony Computer Entertainment,0.02,0.01,0.04,0.01
AC/DC LIVE: Rock Band Track Pack,PS2,2008,Misc,MTV Games,0.08,0.06,0.0,0.02
AC/DC LIVE: Rock Band Track Pack,Wii,2008,Misc,MTV Games,0.25,0.0,0.0,0.02
AKB1/149: Love Election,PSP,2012,Adventure,Namco Bandai Games,0.0,0.0,0.23,0.0
AKB1/149: Love Election,PSV,2012,Adventure,Namco Bandai Games,0.0,0.0,0.07,0.0
AKB48+Me,3DS,2012,Action,Unknown,0.0,0.0,0.11,0.0
AMNESIA World,PSV,2014,Adventure,Idea Factory,0.0,0.0,0.03,0.0
ASH: Archaic Sealed Heat,DS,2007,Role-Playing,Nintendo,0.0,0.0,0.12,0.0
ATV Offroad Fury,PS2,2001,Racing,Sony Computer Entertainment,2.07,0.26,0.0,0.08
ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games,1.0,0.04,0.0,0.16
ATV Quad Kings,Wii,2009,Racing,Zoo Digital Publishing,0.21,0.0,0.0,0.01
ATV/Monster Truck Mayhem,DS,2007,Racing,"Destination Software, Inc",0.33,0.0,0.0,0.02
ATV: Quad Frenzy,DS,2005,Racing,Majesco Entertainment,0.1,0.0,0.0,0.01
Abunai: Koi no Sousa Shitsu,PSP,2012,Action,Quinrose,0.0,0.0,0.01,0.0
Accel World: Kasoku no Chouten,PS3,2013,Adventure,Namco Bandai Games,0.0,0.0,0.02,0.0
Ace Attorney Investigations 2,DS,2011,Adventure,Capcom,0.0,0.0,0.26,0.0
Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,Capcom,0.27,0.15,0.3,0.04
Ace Combat 5: The Unsung War,PS2,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18
Ace Combat: Joint Assault,PSP,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03
Adrenalin Misfits,X360,2010,Racing,Konami Digital Entertainment,0.12,0.02,0.0,0.01
Advance Wars,GBA,2001,Strategy,Nintendo,0.5,0.19,0.0,0.01
Advance Wars: Days of Ruin,DS,N/A,Strategy,Nintendo,0.44,0.13,0.0,0.06
Advance Wars: Dual Strike,DS,2005,Strategy,Nintendo,0.3,0.03,0.04,0.03
Advent Rising,XB,2005,Action,THQ,0.1,0.03,0.0,0.0
Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013,Action,D3Publisher,0.1,0.03,0.0,0.01
Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,2013,Action,D3Publisher,0.02,0.02,0.0,0.01
Adventure Time: Finn & Jake Investigations,PS3,2015,Action,Little Orbit,0.02,0.07,0.0,0.02
Adventures to Go!,PSP,2008,Role-Playing,Zushi Games,0.1,0.0,0.01,0.01
Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,0.02,0.0,0.0,0.0
Aegis of Earth: Protonovus Assault,PSV,2016,Action,PQube,0.02,0.01,0.0,0.01
Agatha Christie: And Then There Were None,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0.0,0.01
Agatha Christie: Evil Under the Sun,Wii,2008,Adventure,The Adventure Company,0.07,0.02,0.0,0.01
Age of Empires III,PC,2005,Strategy,Microsoft Game Studios,0.0,0.32,0.0,0.07
Age of Empires: Collector's Edition,PC,2000,Strategy,Ubisoft,0.02,0.1,0.0,0.02
Age of Mythology,PC,2002,Strategy,Microsoft Game Studios,0.02,0.06,0.0,0.01
Aggressive Inline,PS2,2002,Sports,Acclaim Entertainment,0.17,0.13,0.0,0.04
Aggressive Inline,XB,2002,Sports,Acclaim Entertainment,0.05,0.01,0.0,0.0
Agile Warrior F-111X,PS,1995,Simulation,Virgin Interactive,0.08,0.05,0.0,0.01
Aikatsu! My No.1 Stage!,3DS,2015,Misc,Namco Bandai Games,0.0,0.0,0.07,0.0
Air Conflicts: Secret Wars,X360,2011,Simulation,bitComposer Games,0.06,0.02,0.0,0.01
Air Raid,2600,1981,Action,Men-A-Vision,0.72,0.04,0.0,0.01
Air-Sea Battle,2600,N/A,Shooter,Atari,0.91,0.06,0.0,0.01
AirForce Delta Storm,XB,2001,Shooter,Konami Digital Entertainment,0.14,0.04,0.0,0.01
AirForce Delta Strike,PS2,2004,Simulation,Konami Digital Entertainment,0.05,0.04,0.0,0.01
Airblade,PS2,2001,Sports,Sony Computer Entertainment,0.11,0.09,0.0,0.03
Airborne Troops: Countdown to D-Day,PS2,2005,Shooter,Playlogic Game Factory,0.06,0.05,0.0,0.02
Airline Tycoon,PC,2000,Simulation,Interplay,0.0,0.01,0.0,0.0
Airlock,2600,1981,Action,Data Age,0.36,0.02,0.0,0.0
Airport Simulator,PC,2011,Simulation,Unknown,0.0,0.02,0.0,0.0
Akatsuki no Goei Trinity,PS3,2012,Adventure,5pb,0.0,0.0,0.01,0.0
Akatsuki no Goei Trinity,PSP,2012,Adventure,5pb,0.0,0.0,0.01,0.0
Akiba's Trip,PSP,2011,Adventure,Acquire,0.0,0.0,0.14,0.0
Akiba's Trip: Undead & Undressed,PS3,2013,Action,Nippon Ichi Software,0.05,0.01,0.04,0.01
Akiba's Trip: Undead & Undressed,PSV,2013,Action,Nippon Ichi Software,0.09,0.02,0.08,0.03
Aladdin Magic Racer,Wii,2011,Racing,Big Ben Interactive,0.01,0.0,0.0,0.0
Alexi Lalas International Soccer,PS,1998,Sports,Take-Two Interactive,0.04,0.03,0.0,0.0
Alice in Wonderland,Wii,2010,Adventure,Disney Interactive Studios,0.27,0.21,0.0,0.05
Alice: Madness Returns,PC,2011,Adventure,Electronic Arts,0.0,0.1,0.0,0.02
Alien Hominid,GC,2004,Shooter,O3 Entertainment,0.07,0.02,0.0,0.0
Alien Monster Bowling League,Wii,2009,Sports,Destineer,0.09,0.0,0.0,0.01
Alien Syndrome,Wii,2007,Role-Playing,Sega,0.06,0.0,0.0,0.0
Alien's Return,2600,1982,Action,ITT Family Games,0.32,0.02,0.0,0.0
Alien: Isolation,PS3,2014,Shooter,Sega,0.12,0.19,0.0,0.07
Aliens in the Attic,DS,2009,Action,Playlogic Game Factory,0.05,0.0,0.0,0.0
Aliens versus Predator: Extinction,XB,2003,Strategy,Electronic Arts,0.06,0.02,0.0,0.0
Aliens vs Predator,PS3,2010,Shooter,Sega,0.41,0.47,0.0,0.18
Aliens vs Predator,X360,2010,Shooter,Sega,0.55,0.4,0.0,0.11
Aliens: Colonial Marines,X360,2013,Shooter,Sega,0.36,0.37,0.0,0.07
All Grown Up!: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,0.17,0.06,0.0,0.0
All Japan Pro Wrestling featuring Virtua,SAT,1997,Fighting,Sega,0.0,0.0,0.15,0.0
All Kamen Rider: Rider Generation 2,DS,2012,Action,Namco Bandai Games,0.0,0.0,0.1,0.0
All Kamen Rider: Rider Generation 2,PSP,2012,Action,Namco Bandai Games,0.0,0.0,0.06,0.0
All Points Bulletin,PC,2010,Role-Playing,Electronic Arts,0.0,0.03,0.0,0.01
All Star Cheer Squad,Wii,2008,Sports,THQ,0.43,0.29,0.0,0.08
All Star Karate,Wii,2010,Action,THQ,0.14,0.07,0.0,0.02
All-Star Baseball 2001,N64,2000,Sports,Acclaim Entertainment,0.22,0.01,0.0,0.0
All-Star Baseball 2002,PS2,2001,Sports,Acclaim Entertainment,0.27,0.21,0.0,0.07
All-Star Baseball 2003,GBA,2002,Sports,Acclaim Entertainment,0.11,0.04,0.0,0.0
All-Star Baseball 2003,XB,2002,Sports,Acclaim Entertainment,0.19,0.06,0.0,0.01
All-Star Baseball 2004,GBA,2003,Sports,Acclaim Entertainment,0.05,0.02,0.0,0.0
All-Star Baseball 2004,PS2,2003,Sports,Acclaim Entertainment,0.21,0.16,0.0,0.05
Alone in the Dark,PS2,2008,Adventure,Atari,0.03,0.02,0.0,0.01
Alpha Protocol,X360,2010,Role-Playing,Sega,0.23,0.13,0.0,0.04
Alter Echo,PS2,2003,Shooter,THQ,0.06,0.05,0.0,0.02
Alter Echo,XB,2003,Shooter,THQ,0.04,0.01,0.0,0.0
Alvin and the Chipmunks,Wii,2007,Misc,Eidos Interactive,0.05,0.0,0.0,0.0
Alvin and the Chipmunks: Chipwrecked,Wii,2011,Misc,505 Games,0.08,0.01,0.0,0.01
Amagoushi no Yakata,PS2,2007,Adventure,Nippon Ichi Software,0.0,0.0,0.02,0.0
Amatsumi Sora ni! Kumo no Hatate ni,PSV,2015,Adventure,Prototype,0.0,0.0,0.02,0.0
Amazing Island,GC,2004,Strategy,Sega,0.04,0.01,0.0,0.0
American Chopper,PS2,2004,Racing,Zoo Digital Publishing,0.35,0.01,0.0,0.06
American Chopper 2: Full Throttle,GC,2005,Racing,Activision,0.04,0.01,0.0,0.0
Anarchy Reigns,PS3,2012,Action,Sega,0.1,0.03,0.06,0.02
Angelique Duet,PS,1998,Strategy,Tecmo Koei,0.0,0.0,0.04,0.0
Angry Birds,PC,2011,Puzzle,Focus Home Interactive,0.0,0.18,0.0,0.05
Angry Birds Star Wars,PSV,2013,Strategy,Activision,0.05,0.04,0.0,0.03
Angry Birds Star Wars,Wii,2013,Strategy,Activision,0.21,0.1,0.0,0.03
Angry Birds Star Wars,WiiU,2013,Strategy,Activision,0.06,0.04,0.0,0.01
Angry Birds Star Wars,XOne,2013,Strategy,Activision,0.11,0.04,0.0,0.01
Angry Birds Trilogy,3DS,2012,Action,Activision,0.38,0.2,0.0,0.05
Angry Birds Trilogy,PS3,2012,Action,Activision,0.12,0.02,0.0,0.02
Animal Crossing,GC,2001,Simulation,Nintendo,1.92,0.16,0.99,0.09
Animal Kingdom: Wildlife Expedition,Wii,2009,Adventure,Natsume,0.07,0.0,0.0,0.01
Animal Paradise,DS,2007,Simulation,Empire Interactive,0.09,0.14,0.0,0.02
Anno 2070,PC,2011,Strategy,Ubisoft,0.0,1.13,0.0,0.32
Another Code R: A Journey into Lost Memories,Wii,2009,Adventure,Nintendo,0.0,0.03,0.03,0.0
Antz Extreme Racing,PS2,2002,Racing,Empire Interactive,0.02,0.02,0.0,0.01
Antz Extreme Racing,XB,2002,Racing,Empire Interactive,0.01,0.0,0.0,0.0
Aoishiro,PS2,2008,Adventure,Success,0.0,0.0,0.02,0.0
Apache: Air Assault,X360,2010,Simulation,Activision,0.12,0.04,0.0,0.01
Apassionata: Die Galanacht der Pferde,DS,2009,Simulation,RTL,0.0,0.04,0.0,0.01
Ape Escape,PS,1999,Platform,Sony Computer Entertainment,0.71,0.48,0.32,0.11
Ape Escape Academy (jp sales),PSP,2004,Misc,Sony Computer Entertainment,0.0,0.0,0.13,0.0
Apocalypse,PS,1998,Action,Activision,0.25,0.17,0.0,0.03
Aquaman: Battle for Atlantis,GC,2003,Action,TDK Mediactive,0.01,0.0,0.0,0.0
Aquanaut's Holiday: Kakusareta Kiroku,PS3,2008,Adventure,Sony Computer Entertainment,0.0,0.0,0.04,0.0
Ar Nosurge: Ode to an Unborn Star,PS3,2014,Role-Playing,Tecmo Koei,0.05,0.04,0.06,0.02
Ar tonelico Qoga: Knell of Ar Ciel,PS3,2010,Role-Playing,Tecmo Koei,0.08,0.01,0.13,0.01
Arabians Lost: The Engagement on Desert,PS2,2007,Adventure,Prototype,0.0,0.0,0.02,0.0
Arc the Lad: End of Darkness,PS2,2004,Role-Playing,Sony Computer Entertainment,0.03,0.02,0.0,0.01
Arcade Party Pak,PS,1999,Misc,Midway Games,0.06,0.04,0.0,0.01
Arcade Shooting Gallery,Wii,2008,Shooter,Zoo Games,0.18,0.0,0.0,0.01
Arcana Famiglia: La storia della Aracana Famiglia,PSP,2011,Adventure,Comfort,0.0,0.0,0.05,0.0
Arcana Heart 3,PSV,2014,Fighting,Arc System Works,0.03,0.0,0.02,0.01
Arcania: Gothic 4,X360,2010,Role-Playing,JoWood Productions,0.03,0.04,0.01,0.01
Arctic Tale,DS,2007,Adventure,Zoo Digital Publishing,0.13,0.0,0.0,0.01
Arctic Thunder,PS2,2001,Racing,Midway Games,0.17,0.14,0.0,0.05
Are You Alice?,PSP,2011,Adventure,Idea Factory,0.0,0.0,0.02,0.0
Are You Smarter Than a 5th Grader? Back to School,DS,2010,Misc,THQ,0.08,0.0,0.0,0.01
Are You Smarter Than a 5th Grader? Back to School,Wii,2010,Misc,Nintendo,0.2,0.0,0.0,0.02
Are You Smarter than a 5th Grader? Game Time,Wii,2009,Puzzle,THQ,0.25,0.0,0.0,0.02
Area 51,PS,1996,Shooter,GT Interactive,0.4,0.27,0.0,0.05
Aria: The Natural ~Tooi Yume no Mirage~,PS2,2006,Adventure,Alchemist,0.0,0.0,0.02,0.0
Aria: The Origination ~Aoi Wakusei no El Cielo~,PS2,2008,Adventure,Alchemist,0.0,0.0,0.02,0.0
Armor Ambush,2600,1981,Action,Mattel Interactive,0.15,0.01,0.0,0.0
Armored Core 2: Another Age,PS2,2001,Simulation,Metro 3D,0.11,0.08,0.19,0.03
Armored Core 4,PS3,2006,Simulation,505 Games,0.09,0.0,0.09,0.01
Armored Core 4,X360,2007,Simulation,505 Games,0.19,0.01,0.03,0.02
Armored Core SL: Silent Line Portable,PSP,2009,Simulation,From Software,0.0,0.0,0.03,0.0
Armored Core V,PS3,2012,Simulation,Namco Bandai Games,0.09,0.04,0.24,0.02
Armored Core: For Answer,PS3,2008,Simulation,Ubisoft,0.06,0.02,0.1,0.01
Armored Core: For Answer,X360,2008,Simulation,Ubisoft,0.06,0.01,0.07,0.01
Armored Core: Master of Arena,PS,1999,Simulation,From Software,0.07,0.05,0.13,0.02
Armored Core: Silent Line,PS2,2003,Simulation,Agetec,0.07,0.06,0.16,0.02
Army Corps of Hell,PSV,2011,Action,Square Enix,0.05,0.04,0.0,0.02
Army Men: Green Rogue,PS2,2001,Action,3DO,0.06,0.05,0.0,0.02
Army Men: Sarge's Heroes,PS,1999,Action,3DO,0.31,0.21,0.0,0.04
Army Men: Sarge's Heroes 2,PS,2000,Shooter,3DO,0.14,0.09,0.0,0.02
Army Men: Sarge's War,XB,2004,Shooter,Global Star,0.09,0.02,0.0,0.0
Army Men: Soldiers of Misfortune,DS,2008,Shooter,Zoo Games,0.11,0.0,0.0,0.01
Army Rescue,Wii,2009,Shooter,UFO Interactive,0.02,0.0,0.0,0.0
Army of Two,PS3,2008,Shooter,Electronic Arts,0.74,0.26,0.02,0.15
Around the World in 80 Days,GBA,2004,Action,Hip Interactive,0.03,0.01,0.0,0.0
Arslan: The Warriors of Legend,XOne,2016,Action,Tecmo Koei,0.01,0.0,0.0,0.0
Arthur and the Invisibles,DS,2007,Adventure,Atari,0.03,0.0,0.0,0.0
Asphalt 3D,3DS,2011,Racing,Ubisoft,0.27,0.16,0.02,0.04
Assassin's Creed Chronicles,PSV,2016,Action,Ubisoft,0.02,0.06,0.01,0.02
Assassin's Creed Chronicles: China,PS4,2015,Action,Ubisoft,0.0,0.03,0.0,0.01
Assassin's Creed II,PC,2010,Action,Ubisoft,0.01,0.45,0.0,0.11
Assassin's Creed III,PC,2012,Action,Ubisoft,0.28,0.53,0.0,0.13
Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14
Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.71,0.03,0.44
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,1.33,1.71,0.13,0.73
Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,1.9,1.14,0.01,0.29
Assassin's Creed: Brotherhood,PC,2011,Action,Ubisoft,0.15,0.34,0.0,0.1
Assassin's Creed: Revelations,PC,2011,Action,Ubisoft,0.14,0.48,0.0,0.14
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1.41,2.02,0.1,0.72
Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,0.46,0.62,0.06,0.23
Assassin's Creed: Rogue,X360,2014,Action,Ubisoft,0.58,0.38,0.0,0.09
Assassination Classroom: Grand Siege on Kuro-sensei,3DS,2015,Action,Namco Bandai Games,0.0,0.0,0.13,0.0
Assault,2600,1982,Action,Bomb,0.21,0.01,0.0,0.0
Asteroids,PS,1998,Shooter,Success,0.64,0.43,0.0,0.07
Asteroids Hyper 64,N64,1999,Shooter,Crave Entertainment,0.13,0.03,0.0,0.0
Astro Boy: Omega Factor,GBA,2003,Action,THQ,0.06,0.02,0.0,0.0
Astro Boy: The Video Game,PSP,2009,Action,D3Publisher,0.04,0.0,0.0,0.0
Astrology DS,DS,2009,Misc,Deep Silver,0.03,0.0,0.0,0.0
Asura's Wrath,PS3,2012,Action,Capcom,0.18,0.12,0.06,0.05
Asura's Wrath,X360,2012,Action,Capcom,0.15,0.06,0.01,0.02
Atari Anniversary Advance,GBA,2002,Misc,Atari,0.13,0.05,0.0,0.0
Atelier Annie: Alchemists of Sera Island,DS,2009,Role-Playing,Gust,0.08,0.0,0.03,0.01
Atelier Escha & Logy: Alchemists of the Dusk Sky,PSV,2015,Role-Playing,Tecmo Koei,0.0,0.0,0.04,0.0
Atelier Rorona: Alchemist of Arland,PSV,2013,Role-Playing,Nippon Ichi Software,0.0,0.0,0.05,0.0
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,2015,Role-Playing,Tecmo Koei,0.01,0.02,0.06,0.01
Attack of the Movies 3D,X360,2010,Shooter,Majesco Entertainment,0.04,0.0,0.0,0.0
Attack on Titan (KOEI),PSV,2016,Action,Tecmo Koei,0.0,0.0,0.13,0.0
Attack on Titan: Humanity in Chains,3DS,2013,Action,Screenlife,0.0,0.0,0.41,0.0
Auto Destruct,PS,1998,Action,Electronic Arts,0.04,0.03,0.0,0.01
Auto Modellista,PS2,2002,Racing,Capcom,0.19,0.15,0.0,0.05
Avatar: The Game,Wii,2009,Action,Ubisoft,0.33,0.32,0.0,0.08
Avatar: The Last Airbender,PSP,2006,Adventure,THQ,0.1,0.0,0.0,0.01
Avatar: The Last Airbender - The Burning Earth,DS,2007,Action,THQ,0.31,0.0,0.0,0.03
Away: Shuffle Dungeon,DS,2008,Role-Playing,Majesco Entertainment,0.02,0.0,0.0,0.0
B-Boy,PSP,2006,Misc,Sony Computer Entertainment,0.04,0.0,0.0,0.0
BMX XXX,GC,2002,Sports,Acclaim Entertainment,0.05,0.01,0.0,0.0
BMX XXX,PS2,2002,Sports,Acclaim Entertainment,0.07,0.06,0.0,0.02
Babysitting Mama,Wii,2010,Simulation,505 Games,0.34,0.12,0.0,0.04
Back to the Future: The Game,PS3,2011,Adventure,Telltale Games,0.07,0.01,0.0,0.01
Back to the Future: The Game,Wii,2011,Adventure,Telltale Games,0.05,0.0,0.0,0.0
Back to the Future: The Game,X360,2015,Adventure,Telltale Games,0.02,0.01,0.0,0.0
Backyard Baseball '10,DS,2009,Sports,Atari,0.11,0.0,0.0,0.01
Backyard NFL Football,GC,2002,Sports,Infogrames,0.2,0.05,0.0,0.01
Backyard NFL Football '09,PS2,2008,Sports,Atari,0.08,0.07,0.0,0.02
Backyard NFL Football '09,Wii,2008,Sports,Atari,0.2,0.0,0.0,0.02
Backyard Sports: Sandlot Sluggers,X360,2010,Sports,Atari,0.09,0.0,0.0,0.01
Bad Boys: Miami Takedown,GC,2004,Shooter,Empire Interactive,0.03,0.01,0.0,0.0
Bad Boys: Miami Takedown,PS2,2004,Shooter,Empire Interactive,0.56,0.44,0.0,0.15
Bad Boys: Miami Takedown,XB,2004,Shooter,Empire Interactive,0.14,0.04,0.0,0.01
Bahamut Lagoon,SNES,1996,Role-Playing,SquareSoft,0.0,0.0,0.62,0.0
Baja: Edge of Control,PS3,2008,Racing,THQ,0.1,0.08,0.0,0.04
Bakemonogatari Portable,PSP,2012,Action,Namco Bandai Games,0.0,0.0,0.05,0.0
Baku Baku,SAT,1995,Puzzle,Sega,0.0,0.0,0.05,0.0
Bakugan: Rise of the Resistance,DS,2011,Strategy,Activision,0.06,0.02,0.0,0.01
Bakumatsu Koihana: Shinsengumi DS,DS,2008,Adventure,D3Publisher,0.0,0.0,0.01,0.0
Bakumatsu Rock,PSP,2014,Action,Marvelous Entertainment,0.0,0.0,0.01,0.0
Bakumatsu Rock: Ultra Soul,PSV,2014,Misc,Marvelous Interactive,0.0,0.0,0.02,0.0
Bakusou Kyoudai Let's & Go!! Eternal Wings,PS,1998,Racing,Jaleco,0.0,0.0,0.05,0.0
Baldur's Gate: Dark Alliance,GC,2002,Role-Playing,Virgin Interactive,0.11,0.03,0.0,0.0
Baldur's Gate: Dark Alliance II,XB,2004,Role-Playing,Acclaim Entertainment,0.19,0.06,0.0,0.01
Ballblazer Champions,PS,1997,Sports,CTO SpA,0.01,0.01,0.0,0.0
Ballistic,PS,1999,Puzzle,Atari,0.02,0.01,0.0,0.0
Balloon Pop 2,3DS,2012,Puzzle,UFO Interactive,0.01,0.0,0.0,0.0
Band Hero,DS,2009,Misc,Activision,0.21,0.19,0.0,0.05
Band Hero,Wii,2009,Misc,Activision,0.6,0.3,0.0,0.09
Banjo-Kazooie: Nuts & Bolts,X360,2008,Platform,Microsoft Game Studios,0.32,0.36,0.0,0.09
Banushi Life Game: Winner's Circle,DS,2007,Sports,Genki,0.0,0.0,0.04,0.0
Barbie Groovy Games,GBA,2002,Misc,Universal Interactive,0.4,0.15,0.0,0.01
Barbie Horse Adventures: Riding Camp,DS,2008,Sports,Activision,0.51,0.0,0.0,0.04
Barbie Super Sports,PS,1999,Sports,Mattel Interactive,0.12,0.08,0.0,0.01
Barbie and Her Sisters Puppy Rescue,3DS,2015,Action,Namco Bandai Games,0.0,0.03,0.0,0.0
Barbie and Her Sisters Puppy Rescue,PS3,2015,Action,Namco Bandai Games,0.0,0.01,0.0,0.0
Barbie and the Three Musketeers,DS,2009,Adventure,Activision,0.12,0.0,0.0,0.01
Barbie: Groom and Glam Pups,DS,2010,Action,THQ,0.26,0.14,0.0,0.04
Barnyard,GBA,2006,Action,THQ,0.03,0.01,0.0,0.0
Barnyard,GC,2006,Action,THQ,0.09,0.02,0.0,0.0
Baseball Advance,GBA,2002,Sports,Sega,0.1,0.04,0.0,0.0
Bases Loaded '96: Double Header,PS,1995,Sports,Jaleco,0.28,0.19,0.0,0.03
Basketball Hall of Fame Ultimate Hoops Challenge,Wii,2010,Sports,Zoo Games,0.06,0.0,0.0,0.0
Bass Pro Shops: The Hunt,Wii,2010,Sports,XS Games,0.23,0.0,0.0,0.02
Bass Pro Shops: The Strike,Wii,2009,Sports,XS Games,0.45,0.0,0.0,0.03
Bastard!! Utsuro Naru Kamigami no Utsuwa,PS,1996,Role-Playing,Seta Corporation,0.0,0.0,0.2,0.01
Batman & Robin,PS,1998,Action,Acclaim Entertainment,0.06,0.04,0.0,0.01
Batman Beyond: Return of the Joker,PS,2000,Action,Ubisoft,0.09,0.06,0.0,0.01
Batman Forever: The Arcade Game,PS,1996,Action,Acclaim Entertainment,0.02,0.01,0.0,0.0
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,2.23,1.34,0.07,0.61
Batman: Arkham City,WiiU,2012,Action,Warner Bros. Interactive Entertainment,0.17,0.18,0.0,0.03
Batman: Arkham Origins,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.2,0.09,0.0,0.03
